trial,lpa_precompute_us,euicc_commit_us,challenge_gen_us,tee_authtoken_us,euicc_mask_us,lpa_aggregate_us,server_verify_us,total_us,euicc_total_us,lpa_total_us,tee_total_us,server_total_us
340,4095.26,8815.52,101.08,38.51,1465.91,14.23,4049.41,18579.92,10281.43,4109.48,38.51,4049.41
341,3779.35,9482.58,100.07,41.15,1322.05,10.85,2676.92,17412.97,10804.63,3790.20,41.15,2676.92
342,4202.96,10920.31,104.53,39.54,1474.53,11.97,2795.87,19549.70,12394.83,4214.93,39.54,2795.87
343,3691.04,9406.01,125.06,51.09,1499.99,16.74,3466.12,18256.05,10906.00,3707.79,51.09,3466.12
344,4044.43,10773.77,137.92,49.96,1469.33,11.79,2813.63,19300.84,12243.10,4056.23,49.96,2813.63
345,3575.00,10474.38,109.77,42.02,1371.34,15.95,3082.01,18670.47,11845.72,3590.95,42.02,3082.01
346,3690.81,9927.32,98.01,40.51,1752.37,11.71,2780.34,18301.06,11679.69,3702.51,40.51,2780.34
347,4841.03,11647.53,109.93,64.43,2325.67,10.69,2520.28,21519.55,13973.20,4851.72,64.43,2520.28
348,4727.84,8969.20,103.27,99.38,2140.42,12.16,2731.96,18784.22,11109.62,4740.00,99.38,2731.96
349,3328.64,8852.97,101.48,32.98,1530.54,10.61,2506.35,16363.57,10383.51,3339.25,32.98,2506.35
350,3477.74,11190.61,96.60,37.72,1633.66,11.53,2726.15,19174.00,12824.27,3489.27,37.72,2726.15
351,4681.76,9976.67,96.70,35.88,1618.54,17.32,2830.34,19257.22,11595.21,4699.08,35.88,2830.34
352,4370.36,11085.62,109.72,38.95,1489.02,12.62,2747.97,19854.26,12574.64,4382.97,38.95,2747.97
353,3815.68,9551.07,115.91,47.62,1848.27,10.91,2841.11,18230.56,11399.34,3826.58,47.62,2841.11
354,4480.62,11700.58,101.28,41.33,1485.45,10.19,2840.55,20660.00,13186.04,4490.81,41.33,2840.55
355,3659.29,11454.27,101.78,42.05,1403.00,10.82,3061.86,19733.08,12857.28,3670.11,42.05,3061.86
356,4056.83,9584.15,89.69,44.99,1295.41,13.26,4308.23,19392.55,10879.56,4070.09,44.99,4308.23
357,4459.45,10135.25,131.97,44.56,1475.85,12.10,2772.79,19031.96,11611.10,4471.55,44.56,2772.79
358,3847.90,10456.71,99.03,41.11,1389.31,13.21,3378.83,19226.11,11846.03,3861.11,41.11,3378.83
359,4837.31,10718.53,148.89,51.87,2594.79,15.34,2975.61,21342.33,13313.31,4852.65,51.87,2975.61
360,4235.97,13914.89,117.45,43.53,2035.63,12.57,3782.72,24142.75,15950.51,4248.53,43.53,3782.72
361,3668.32,11248.49,115.77,45.64,2002.30,12.74,3433.39,20526.66,13250.79,3681.06,45.64,3433.39
362,4612.46,10605.96,170.30,59.72,1981.12,12.44,2720.62,20162.61,12587.08,4624.89,59.72,2720.62
363,3892.49,9653.17,105.59,38.50,1829.63,10.69,2845.99,18376.07,11482.81,3903.18,38.50,2845.99
364,3585.72,11520.65,115.42,44.60,1904.60,12.10,3297.26,20480.35,13425.25,3597.82,44.60,3297.26
365,4418.27,10400.03,112.74,45.76,1633.41,10.64,3181.05,19801.90,12033.44,4428.91,45.76,3181.05
366,3704.78,10829.14,94.16,35.05,1570.35,12.97,3039.73,19286.17,12399.49,3717.75,35.05,3039.73
367,3407.09,11052.18,97.79,36.34,1489.95,11.37,3185.24,19279.95,12542.13,3418.46,36.34,3185.24
368,4725.12,9508.56,113.89,36.86,1521.82,10.06,2639.22,18555.53,11030.38,4735.18,36.86,2639.22
369,3471.24,10334.45,108.18,45.39,1423.75,12.63,2803.43,18199.08,11758.20,3483.88,45.39,2803.43
370,3512.27,12172.53,141.09,64.66,2143.82,16.91,3139.91,21191.19,14316.34,3529.18,64.66,3139.91
371,3665.21,9874.09,132.54,48.96,1519.39,10.94,2685.88,17937.01,11393.48,3676.15,48.96,2685.88
372,3467.14,10003.08,112.64,38.92,1450.00,10.76,2741.61,17824.14,11453.08,3477.90,38.92,2741.61
373,3589.74,9795.88,100.83,41.21,1433.87,10.46,2522.36,17494.36,11229.75,3600.21,41.21,2522.36
374,6924.63,11416.11,107.31,41.09,1663.63,10.29,2636.63,22799.69,13079.74,6934.92,41.09,2636.63
375,4653.84,11484.16,127.41,49.25,2156.80,14.02,2849.54,21335.02,13640.96,4667.86,49.25,2849.54
376,4439.57,9350.83,146.18,51.88,1547.75,10.85,2782.41,18329.48,10898.58,4450.42,51.88,2782.41
377,3461.56,11022.38,101.98,38.06,1404.68,10.92,2775.07,18814.65,12427.07,3472.48,38.06,2775.07
378,3470.89,9017.93,81.02,32.56,1424.67,9.94,2569.02,16606.02,10442.60,3480.83,32.56,2569.02
